transition,interior_knot_idx,interior_knot,boundary_lower,boundary_upper
h12,1,0.619101184657173,0.0,6.0
h12,2,1.0990599158461443,0.0,6.0
h12,3,1.6772532258697852,0.0,6.0
h12,4,2.3926123748710917,0.0,6.0
h12,5,3.4612503729849147,0.0,6.0
h13,1,0.20668339615277473,0.0,6.0
h13,2,0.4963139295681438,0.0,6.0
h13,3,0.9743021318308328,0.0,6.0
h13,4,1.6066968117977336,0.0,6.0
h13,5,2.8113424296154736,0.0,6.0
h23,1,0.4653211023585546,0.0,6.0
h23,2,0.9218613352107373,0.0,6.0
h23,3,1.3254675419644828,0.0,6.0
h23,4,1.7762131963909966,0.0,6.0
h23,5,2.512962246480625,0.0,6.0
